,Year,Movie,Time,Gener,star,Metascore,Votes,Gross_earning,Director
0,1994,The Shawshank Redemption,142,Drama,9.3,82,2719018,28.34,Frank Darabont
1,2008,The Dark Knight,152,"Action,",9.0,84,2691683,534.86,Christopher Nolan
2,2010,Inception,148,"Action,",8.8,74,2388861,292.58,Christopher Nolan
3,1999,Fight Club,139,Drama,8.8,66,2162482,37.03,David Fincher
4,1994,Forrest Gump,142,"Drama,",8.8,82,2113847,330.25,Robert Zemeckis
5,1994,Pulp Fiction,154,"Crime,",8.9,95,2088077,107.93,Quentin Tarantino
6,1999,The Matrix,136,"Action,",8.7,73,1939231,171.48,"Lana Wachowski, "
7,2001,The Lord of the Rings: The Fellowship of the Ring,178,"Action,",8.8,92,1900142,315.54,Peter Jackson
8,1972,The Godfather,175,"Crime,",9.2,100,1889271,134.97,Francis Ford Coppola
9,2014,Interstellar,169,"Adventure,",8.6,74,1879524,188.02,Christopher Nolan
10,2003,The Lord of the Rings: The Return of the King,201,"Action,",9.0,94,1870840,377.85,Peter Jackson
11,2012,The Dark Knight Rises,164,"Action,",8.4,78,1726921,448.14,Christopher Nolan
12,2002,The Lord of the Rings: The Two Towers,179,"Action,",8.8,87,1689024,342.55,Peter Jackson
13,1995,Se7en,127,"Crime,",8.6,65,1679331,100.13,David Fincher
14,2012,Django Unchained,165,"Drama,",8.4,81,1581952,162.81,Quentin Tarantino
15,2000,Gladiator,155,"Action,",8.5,67,1521377,187.71,Ridley Scott
16,2005,Batman Begins,140,"Action,",8.2,70,1490346,206.85,Christopher Nolan
17,2009,Inglourious Basterds,153,"Adventure,",8.3,69,1475445,120.54,Quentin Tarantino
18,1991,The Silence of the Lambs,118,"Crime,",8.6,86,1453664,130.74,Jonathan Demme
19,2013,The Wolf of Wall Street,180,"Biography,",8.2,75,1443571,116.9,Martin Scorsese
20,1998,Saving Private Ryan,169,"Drama,",8.6,91,1411010,216.54,Steven Spielberg
21,2012,The Avengers,143,"Action,",8.0,69,1406221,623.28,Joss Whedon
22,1977,Star Wars,121,"Action,",8.6,90,1381519,322.74,George Lucas
23,1993,Schindler's List,195,"Biography,",9.0,95,1373352,96.9,Steven Spielberg
24,2006,The Prestige,130,"Drama,",8.5,66,1351993,53.09,Christopher Nolan
25,2006,The Departed,151,"Crime,",8.5,85,1343859,132.38,Martin Scorsese
26,2010,Shutter Island,138,"Mystery,",8.2,63,1343436,128.01,Martin Scorsese
27,2009,Avatar,162,"Action,",7.9,83,1330930,760.51,James Cameron
28,2019,Joker,122,"Crime,",8.4,59,1328637,335.45,Todd Phillips
29,1999,The Green Mile,189,"Crime,",8.6,61,1321681,136.8,Frank Darabont
30,1980,The Empire Strikes Back,124,"Action,",8.7,82,1309147,290.48,Irvin Kershner
31,1974,The Godfather Part II,202,"Crime,",9.0,90,1289153,57.3,Francis Ford Coppola
32,2000,Memento,113,"Mystery,",8.4,81,1253834,25.54,Christopher Nolan
33,1985,Back to the Future,116,"Adventure,",8.5,87,1225110,210.61,Robert Zemeckis
34,1997,Titanic,194,"Drama,",7.9,75,1208538,659.33,James Cameron
35,2014,Guardians of the Galaxy,121,"Action,",8.0,76,1196340,333.18,James Gunn
36,1990,GoodFellas,145,"Biography,",8.7,91,1179473,46.84,Martin Scorsese
37,1994,Léon,110,"Action,",8.5,64,1178162,19.5,Luc Besson
38,1999,American Beauty,122,Drama,8.4,84,1166539,130.1,Sam Mendes
39,2019,Avengers: Endgame,181,"Action,",8.4,78,1160856,858.37,"Anthony Russo, "
40,2003,Pirates of the Caribbean: The Curse of the Black Pearl,143,"Action,",8.1,63,1143457,305.41,Gore Verbinski
41,1998,American History X,119,"Crime,",8.5,62,1135316,6.72,Tony Kaye
42,2005,V for Vendetta,132,"Action,",8.2,62,1133752,70.51,James McTeigue
43,2008,WALL·E,98,"Animation,",8.4,95,1132120,223.81,Andrew Stanton
44,2003,Kill Bill: Vol. 1,111,"Action,",8.2,69,1131017,70.1,Quentin Tarantino
45,1991,Terminator 2: Judgment Day,137,"Action,",8.6,75,1113659,204.84,James Cameron
46,2018,Avengers: Infinity War,149,"Action,",8.4,68,1106049,678.82,"Anthony Russo, "
47,1998,The Truman Show,103,"Comedy,",8.2,90,1103912,125.62,Peter Weir
48,1995,The Usual Suspects,106,"Crime,",8.5,77,1097168,23.34,Bryan Singer
49,1994,The Lion King,88,"Animation,",8.5,88,1074356,422.78,"Roger Allers, "
50,2008,Iron Man,126,"Action,",7.9,79,1073547,318.41,Jon Favreau
51,1983,Star Wars: Episode VI - Return of the Jedi,131,"Action,",8.3,58,1067648,309.13,Richard Marquand
52,2009,Up,96,"Animation,",8.3,88,1059153,293.0,"Pete Docter, "
53,2003,Finding Nemo,100,"Animation,",8.2,90,1057601,380.84,"Andrew Stanton, "
54,2016,Deadpool,108,"Action,",8.0,65,1055834,363.07,Tim Miller
55,1995,Braveheart,178,"Biography,",8.4,68,1049000,75.6,Mel Gibson
56,1980,The Shining,146,"Drama,",8.4,66,1038517,44.02,Stanley Kubrick
57,1992,Reservoir Dogs,99,"Crime,",8.3,81,1033755,2.83,Quentin Tarantino
58,2004,Eternal Sunshine of the Spotless Mind,108,"Drama,",8.3,89,1022802,34.4,Michel Gondry
59,1975,One Flew Over the Cuckoo's Nest,133,Drama,8.7,84,1020153,112.0,Milos Forman
60,2015,Mad Max: Fury Road,120,"Action,",8.1,90,1019856,154.06,George Miller
61,1995,Toy Story,81,"Animation,",8.3,96,1008329,191.8,John Lasseter
62,2002,Catch Me If You Can,141,"Biography,",8.1,75,1007209,164.62,Steven Spielberg
63,1993,Jurassic Park,127,"Action,",8.2,68,1004546,402.45,Steven Spielberg
64,1999,The Sixth Sense,107,"Drama,",8.2,64,1004155,293.51,M. Night Shyamalan
65,2014,Gone Girl,149,"Drama,",8.1,79,999555,167.77,David Fincher
66,1997,Good Will Hunting,126,"Drama,",8.3,70,991285,138.43,Gus Van Sant
67,2007,No Country for Old Men,122,"Crime,",8.2,92,991205,74.28,"Ethan Coen, "
68,1981,Raiders of the Lost Ark,115,"Action,",8.4,85,978700,248.16,Steven Spielberg
69,2001,A Beautiful Mind,135,"Biography,",8.2,72,943778,170.74,Ron Howard
70,2015,Star Wars: Episode VII - The Force Awakens,138,"Action,",7.8,80,941175,936.66,J.J. Abrams
71,2012,The Hunger Games,142,"Action,",7.2,68,935452,408.01,Gary Ross
72,2001,"Monsters, Inc.",92,"Animation,",8.1,79,923358,289.92,"Pete Docter, "
73,1988,Die Hard,132,"Action,",8.2,72,895513,83.01,John McTiernan
74,1979,Alien,117,"Horror,",8.5,89,895258,78.9,Ridley Scott
75,2011,Harry Potter and the Deathly Hallows: Part 2,130,"Adventure,",8.1,85,891770,381.01,David Yates
76,2014,Whiplash,106,"Drama,",8.5,89,888678,13.09,Damien Chazelle
77,1984,The Terminator,107,"Action,",8.1,84,878182,38.4,James Cameron
78,2015,Avengers: Age of Ultron,141,"Action,",7.3,66,877299,459.01,Joss Whedon
79,2011,The Intouchables,112,"Biography,",8.5,57,873007,13.18,"Olivier Nakache, "
80,2015,The Martian,144,"Adventure,",8.0,80,870506,228.43,Ridley Scott
81,2000,Snatch,104,"Comedy,",8.2,55,867416,30.33,Guy Ritchie
82,2013,Iron Man Three,130,"Action,",7.1,62,862562,409.01,Shane Black
83,2011,Thor,115,"Action,",7.0,57,861423,181.03,Kenneth Branagh
84,2014,Captain America: The Winter Soldier,136,"Action,",7.8,70,858900,259.77,"Anthony Russo, "
85,2011,Captain America: The First Avenger,124,"Action,",6.9,66,857628,176.65,Joe Johnston
86,1983,Scarface,170,"Crime,",8.3,65,856318,45.6,Brian De Palma
87,2000,Requiem for a Dream,102,Drama,8.3,71,854655,3.64,Darren Aronofsky
88,2008,Slumdog Millionaire,120,"Crime,",8.0,84,854570,141.32,"Danny Boyle, "
89,1976,Taxi Driver,114,"Crime,",8.2,94,851673,28.26,Martin Scorsese
90,2010,Toy Story 3,103,"Animation,",8.3,92,847722,415.0,Lee Unkrich
91,2002,The Pianist,150,"Biography,",8.5,85,846279,32.57,Roman Polanski
92,1971,A Clockwork Orange,136,"Crime,",8.3,77,841055,6.21,Stanley Kubrick
93,2012,The Hobbit: An Unexpected Journey,169,Fantasy,7.8,58,838995,303.0,Peter Jackson
94,2013,Gravity,91,"Drama,",7.7,96,836330,274.09,Alfonso Cuarón
95,2019,Gisaengchung,132,"Drama,",8.5,96,835230,53.37,Bong Joon Ho
96,2006,300,117,"Action,",7.6,52,831253,210.61,Zack Snyder
97,2002,Spider-Man,121,"Action,",7.4,73,830636,403.71,Sam Raimi
98,2010,Iron Man 2,124,"Action,",6.9,57,829888,312.43,Jon Favreau
99,2014,The Grand Budapest Hotel,99,"Adventure,",8.1,88,827796,59.1,Wes Anderson
100,1998,The Big Lebowski,117,"Comedy,",8.1,71,820237,17.5,"Joel Coen, "
101,2015,The Revenant,156,"Action,",8.0,76,820109,183.64,Alejandro G. Iñárritu
102,1999,Star Wars: Episode I - The Phantom Menace,136,"Action,",6.5,51,817354,474.54,George Lucas
103,2001,Donnie Darko,113,"Drama,",8.0,88,813361,1.48,Richard Kelly
104,2005,Star Wars: Episode III - Revenge of the Sith,140,"Action,",7.6,68,804066,380.26,George Lucas
105,1957,12 Angry Men,96,"Crime,",9.0,97,803592,4.36,Sidney Lumet
106,2016,Captain America: Civil War,147,"Action,",7.8,75,802841,408.08,"Anthony Russo, "
107,2001,Harry Potter and the Sorcerer's Stone,152,"Adventure,",7.6,65,800925,317.58,Chris Columbus
108,2009,The Hangover,100,Comedy,7.7,73,799911,277.32,Todd Phillips
109,2018,Black Panther,134,"Action,",7.3,88,794216,700.06,Ryan Coogler
110,2008,Gran Torino,116,Drama,8.1,72,784594,148.1,Clint Eastwood
111,2014,The Imitation Game,114,"Biography,",8.0,71,783021,91.13,Morten Tyldum
112,2010,Black Swan,108,"Drama,",8.0,79,781622,106.95,Darren Aronofsky
113,1982,Blade Runner,117,"Action,",8.1,84,781333,32.87,Ridley Scott
114,2013,Man of Steel,143,"Action,",7.1,55,781248,291.05,Zack Snyder
115,2021,Spider-Man: No Way Home,148,"Action,",8.2,71,780674,804.75,Jon Watts
116,2001,Sen to Chihiro no kamikakushi,125,"Animation,",8.6,96,779169,10.06,Hayao Miyazaki
117,2017,Logan,137,"Action,",8.1,77,778405,226.28,James Mangold
118,2005,Sin City,124,"Crime,",8.0,74,776081,74.1,"Frank Miller, "
119,2007,I Am Legend,101,"Action,",7.2,65,773181,256.39,Francis Lawrence
120,1966,"Il buono, il brutto, il cattivo",161,"Adventure,",8.8,90,771132,6.1,Sergio Leone
121,2004,Kill Bill: Vol. 2,137,"Action,",8.0,83,767848,66.21,Quentin Tarantino
122,2017,Thor: Ragnarok,130,"Action,",7.9,74,767183,315.06,Taika Waititi
123,2002,Cidade de Deus,130,"Crime,",8.6,79,765391,7.56,"Fernando Meirelles, "
124,2019,Once Upon a Time in... Hollywood,161,"Comedy,",7.6,83,765216,142.5,Quentin Tarantino
125,1989,Indiana Jones and the Last Crusade,127,"Action,",8.2,65,765211,197.17,Steven Spielberg
126,2001,Le fabuleux destin d'Amélie Poulain,122,"Comedy,",8.3,69,765091,33.23,Jean-Pierre Jeunet
127,2016,Doctor Strange,115,"Action,",7.5,72,757319,232.64,Scott Derrickson
128,2007,Ratatouille,111,"Animation,",8.1,96,755523,206.45,"Brad Bird, "
129,2010,How to Train Your Dragon,98,"Animation,",8.1,75,753345,217.58,"Dean DeBlois, "
130,2004,The Incredibles,115,"Animation,",8.0,90,752541,261.44,Brad Bird
131,1987,Full Metal Jacket,116,"Drama,",8.3,78,752429,46.36,Stanley Kubrick
132,2013,Prisoners,153,"Crime,",8.1,70,734960,61.0,Denis Villeneuve
133,2006,Pirates of the Caribbean: Dead Man's Chest,151,"Action,",7.3,53,730644,423.32,Gore Verbinski
134,2019,Inside Out,95,"Animation,",8.1,94,727783,356.46,"Pete Docter, "
135,1986,Aliens,137,"Action,",8.4,84,726971,85.16,James Cameron
136,2002,Star Wars: Episode II - Attack of the Clones,142,"Action,",6.6,54,722662,310.68,George Lucas
137,2014,X-Men: Days of Future Past,132,"Action,",7.9,75,720891,233.92,Bryan Singer
138,2012,Silver Linings Playbook,122,"Comedy,",7.7,81,717892,132.09,David O. Russell
139,2010,The Social Network,120,"Biography,",7.8,95,716616,96.96,David Fincher
140,2019,Knives Out,130,"Comedy,",7.9,82,716591,165.36,Rian Johnson
141,2013,12 Years a Slave,134,"Biography,",8.1,96,710947,56.67,Steve McQueen
143,2016,Batman v Superman: Dawn of Justice,151,"Action,",6.4,44,707957,330.36,Zack Snyder
144,2012,Skyfall,143,"Action,",7.8,81,705829,304.36,Sam Mendes
145,1997,La vita è bella,116,"Comedy,",8.6,59,705260,57.6,Roberto Benigni
146,2011,X: First Class,131,"Action,",7.7,65,700927,146.41,Matthew Vaughn
147,1996,Trainspotting,93,Drama,8.1,83,696224,16.5,Danny Boyle
148,2017,Guardians of the Galaxy Vol. 2,136,"Action,",7.6,67,695992,389.81,James Gunn
149,2004,Million Dollar Baby,132,"Drama,",8.1,86,695663,100.49,Clint Eastwood
150,2016,Suicide Squad,123,"Action,",5.9,40,694852,325.1,David Ayer
151,2013,Thor: The Dark World,112,"Action,",6.8,54,693889,206.36,Alan Taylor
152,2014,Edge of Tomorrow,113,"Action,",7.9,71,692989,100.21,Doug Liman
153,2001,Shrek,90,"Animation,",7.9,84,692474,267.67,"Andrew Adamson, "
154,2009,District 9,112,"Action,",7.9,81,690657,115.65,Neill Blomkamp
155,2010,The King's Speech,118,"Biography,",8.0,88,688438,138.8,Tom Hooper
156,1996,Fargo,98,"Crime,",8.1,86,687654,24.61,"Joel Coen, "
157,2022,The Batman,176,"Action,",7.8,72,685702,369.35,Matt Reeves
158,2015,Ant-Man,117,"Action,",7.3,64,685176,180.2,Peyton Reed
159,2013,World War Z,116,"Action,",7.0,63,681408,202.36,Marc Forster
160,1960,Psycho,109,"Horror,",8.5,97,681073,32.0,Alfred Hitchcock
161,2014,Kingsman: The Secret Service,129,"Action,",7.7,60,679402,128.26,Matthew Vaughn
162,1968,2001: A Space Odyssey,149,"Adventure,",8.3,84,679116,56.95,Stanley Kubrick
163,1979,Apocalypse Now,147,"Drama,",8.5,94,676906,83.47,Francis Ford Coppola
164,2013,The Hunger Games: Catching Fire,146,"Action,",7.5,76,676891,424.67,Francis Lawrence
165,2006,Pan's Labyrinth,118,"Drama,",8.2,98,676878,37.63,Guillermo del Toro
166,2017,Dunkirk,106,"Action,",7.8,94,674731,188.37,Christopher Nolan
167,2013,The Hobbit: The Desolation of Smaug,161,Fantasy,7.8,66,674254,258.37,Peter Jackson
168,2019,Now You See Me,115,"Crime,",7.2,50,672429,117.72,Louis Leterrier
169,2017,Spider-Man: Homecoming,133,"Action,",7.4,73,671504,334.2,Jon Watts
170,2017,Wonder Woman,141,"Action,",7.4,76,668784,412.56,Patty Jenkins
171,1995,Heat,170,"Action,",8.3,76,666856,67.44,Michael Mann
172,2006,Casino Royale,144,"Action,",8.0,80,666760,167.45,Martin Campbell
173,2012,The Amazing Spider-Man,136,"Action,",6.9,66,666710,262.03,Marc Webb
174,2004,Spider-Man 2,127,"Action,",7.4,83,665620,373.59,Sam Raimi
175,2008,The Curious Case of Benjamin Button,166,"Drama,",7.8,70,662549,127.51,David Fincher
176,2007,Pirates of the Caribbean: At World's End,169,"Action,",7.1,50,661705,309.42,Gore Verbinski
177,2014,John Wick,101,"Action,",7.4,68,658113,43.04,"Chad Stahelski, "
178,2021,Dune: Part One,155,"Action,",8.0,74,658095,108.33,Denis Villeneuve
179,2019,Drive,100,"Action,",7.8,78,656428,35.06,Nicolas Winding Refn
180,2015,Jurassic World,124,"Action,",6.9,59,652391,652.27,Colin Trevorrow
181,2016,Rogue One,133,"Action,",7.8,65,651124,532.18,Gareth Edwards
182,2002,Harry Potter and the Chamber of Secrets,161,"Adventure,",7.4,63,650329,261.99,Chris Columbus
